2009,Gex,David,Matteau,PHP,dmatteauf@ifeng.com
2008,Gex,David,Kolin,Java,ckolinh@boston.com
2016,Charbonnieres,David,Daines,Java,gdainesk@meetup.com
2021,Remote,David,Dainter,Python,gdainter2x@amazonaws.com
2009,Saint-Martin,David,Benion,PHP,sbenion5h@xing.com
2020,Remote,David,Hymans,Java,mhymansa0@vkontakte.ru
2012,Villeurbanne,David,De la Yglesias,Python,pdelayglesiasde@weebly.com
2015,Saint-Martin,David,Whodcoat,Python,lwhodcoate6@acquirethisname.com
2021,Villeurbanne,David,Gonoude,Python,lgonoudefg@europa.eu
2009,Charbonnieres,David,Gerardin,Python,sgerardinfu@thetimes.co.uk
2013,Gex,David,Luety,Js,mluetyg4@google.com.au
2014,Saint-Martin,David,Clementucci,Python,dclementuccigv@netlog.com
2009,Remote,David,Queenborough,PHP,rqueenboroughl6@123-reg.co.uk
2013,Charbonnieres,David,Cotter,Js,dcotterld@squidoo.com
2016,Charbonnieres,David,Willbourne,PHP,cwillbournemu@1688.com
2012,Saint-Martin,David,Bugge,Python,mbuggenr@themeforest.net
2015,Gex,David,Stubbings,PHP,rstubbingso7@friendfeed.com
2021,Charbonnieres,David,Brosio,Python,lbrosioog@google.co.uk
2016,Villeurbanne,David,Beany,PHP,sbeanyqk@wp.com
2019,Remote,David,Urwin,Java,burwinr5@netvibes.com
